step	cost_avg	cost_best	solution_best
0	-2.20384	-94.9206	{ [5]Complex(2318.055827, -0.576325) }
1	-10.2017	-95.9691	{ [6]Complex(2389.096789, -0.060205) }
2	-18.2823	-96.5237	{ [3]Complex(2427.333912, -0.188144) }
3	-31.0819	-96.5237	{ [3]Complex(2427.333912, -0.188144) }
4	-44.4061	-96.9553	{ [3]Complex(2457.349281, -0.266540) }
5	-55.7072	-96.9869	{ [3]Complex(2459.558395, -0.257102) }
6	-65.1552	-96.9968	{ [4]Complex(2460.232847, -0.208808) }
7	-70.4669	-96.9969	{ [3]Complex(2460.248840, -0.268308) }
8	-75.2447	-96.9969	{ [3]Complex(2460.248840, -0.268308) }
9	-78.5822	-96.9969	{ [3]Complex(2460.248840, -0.268308) }
10	-82.1815	-96.9974	{ [3]Complex(2460.306613, -0.253677) }
11	-85.9866	-96.9974	{ [3]Complex(2460.306613, -0.253677) }
12	-89.5881	-96.9974	{ [3]Complex(2460.306613, -0.253677) }
13	-92.996	-96.9974	{ [3]Complex(2460.306613, -0.253677) }
14	-93.634	-96.9974	{ [1]Complex(2460.296114, -0.249774) }
15	-94.0597	-96.9981	{ [2]Complex(2460.349482, -0.278930) }
16	-94.6623	-96.9982	{ [1]Complex(2460.342136, -0.399298) }
17	-95.0961	-96.9997	{ [1]Complex(2460.448079, -0.339965) }
18	-95.9231	-96.9999	{ [1]Complex(2460.474017, -0.129370) }
19	-96.5146	-96.9999	{ [1]Complex(2460.474017, -0.129370) }
20	-96.9334	-97	{ [0]Complex(2460.474624, -0.141298) }
21	-96.9337	-97	{ [0]Complex(2460.468804, -0.224271) }
22	-96.9548	-97	{ [0]Complex(2460.468583, -0.248469) }
23	-96.9704	-97	{ [0]Complex(2460.468451, -0.253153) }
24	-96.9723	-97	{ [0]Complex(2460.473702, -0.185058) }
25	-96.9827	-97	{ [0]Complex(2460.476187, -0.156954) }
26	-96.9962	-97	{ [0]Complex(2460.476187, -0.156954) }
27	-96.9981	-97	{ [0]Complex(2460.476187, -0.156954) }
28	-96.9983	-97	{ [0]Complex(2460.471468, -0.221665) }
29	-96.9984	-97	{ [0]Complex(2460.471468, -0.221665) }
30	-96.9996	-97	{ [0]Complex(2460.469564, -0.247655) }
31	-96.9997	-97	{ [0]Complex(2460.475641, -0.165427) }
32	-96.9996	-97	{ [0]Complex(2460.475641, -0.165427) }
33	-96.9998	-97	{ [0]Complex(2460.471809, -0.217526) }
34	-96.9999	-97	{ [0]Complex(2460.473332, -0.196976) }
35	-96.9999	-97	{ [0]Complex(2460.473332, -0.196976) }
36	-97	-97	{ [0]Complex(2460.473332, -0.196976) }
37	-97	-97	{ [0]Complex(2460.469446, -0.249598) }
38	-97	-97	{ [0]Complex(2460.469446, -0.249598) }
39	-97	-97	{ [0]Complex(2460.469446, -0.249598) }
40	-97	-97	{ [0]Complex(2460.469446, -0.249598) }
41	-97	-97	{ [0]Complex(2460.469446, -0.249598) }
42	-97	-97	{ [0]Complex(2460.469446, -0.249598) }
43	-97	-97	{ [0]Complex(2460.469446, -0.249598) }
