step	cost_avg	cost_best	solution_best
0   	    43.9697   	    237.312	{ map[7736] = Complex(-1258.346346, 2554.504683);  }
1   	    70.7564   	    240.077	{ map[8613] = Complex(1248.366358, 2593.815138);  }
2   	     99.095   	    255.103	{ map[5135] = Complex(-893.806728, -2627.571035);  }
3   	    127.084   	    255.103	{ map[5135] = Complex(-893.806728, -2627.571035);  }
4   	    147.969   	    255.103	{ map[5135] = Complex(-893.806728, -2627.571035);  }
5   	    160.147   	    255.144	{ map[4755] = Complex(1491.198877, -1928.798320);  }
6   	    172.063   	    255.144	{ map[4755] = Complex(1491.198877, -1928.798320);  }
7   	    181.019   	    255.144	{ map[4755] = Complex(1491.198877, -1928.798320);  }
8   	      188.1   	    255.144	{ map[4755] = Complex(1491.198877, -1928.798320);  }
9   	    195.796   	    255.594	{ map[4600] = Complex(1334.628324, -2478.492885);  }
10   	    200.888   	    259.531	{ map[4778] = Complex(1520.495676, -1914.425076);  }
11   	    209.067   	    261.314	{ map[4784] = Complex(1503.445517, -1930.038270);  }
12   	    211.894   	    261.314	{ map[4784] = Complex(1503.445517, -1930.038270);  }
13   	     215.28   	    261.314	{ map[4784] = Complex(1503.445517, -1930.038270);  }
14   	     218.38   	    261.314	{ map[4784] = Complex(1503.445517, -1930.038270);  }
15   	    223.465   	    263.485	{ map[4761] = Complex(1476.734905, -1944.881462);  }
16   	    229.286   	    263.697	{ map[4768] = Complex(1504.750058, -1925.851269);  }
17   	    233.655   	    276.343	{ map[4712] = Complex(1364.504606, -2031.168949);  }
18   	    237.787   	    276.343	{ map[4712] = Complex(1364.504606, -2031.168949);  }
19   	    241.548   	    276.343	{ map[4712] = Complex(1364.504606, -2031.168949);  }
20   	    244.899   	    279.216	{ map[4784] = Complex(1521.613069, -1917.665290);  }
21   	    247.862   	    279.216	{ map[4784] = Complex(1521.613069, -1917.665290);  }
22   	    250.549   	    279.216	{ map[4784] = Complex(1521.613069, -1917.665290);  }
23   	    253.559   	    279.216	{ map[4784] = Complex(1521.613069, -1917.665290);  }
24   	    255.233   	    279.216	{ map[4784] = Complex(1521.613069, -1917.665290);  }
25   	    256.817   	    279.216	{ map[4784] = Complex(1521.613069, -1917.665290);  }
26   	    258.812   	    279.216	{ map[4784] = Complex(1521.613069, -1917.665290);  }
27   	    260.509   	    279.523	{ map[4777] = Complex(1513.883298, -1921.291398);  }
28   	    261.415   	    279.523	{ map[4777] = Complex(1513.883298, -1921.291398);  }
29   	    262.109   	    279.599	{ map[4776] = Complex(1511.773832, -1922.458161);  }
30   	    262.666   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
31   	     263.28   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
32   	     263.62   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
33   	    263.933   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
34   	    264.706   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
35   	     265.59   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
36   	    267.195   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
37   	    268.728   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
38   	    270.606   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
39   	    272.326   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
40   	    274.202   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
41   	    275.091   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
42   	    275.955   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
43   	    277.001   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
44   	    277.631   	    294.446	{ map[4777] = Complex(1513.665671, -1921.383513);  }
45   	     277.92   	    294.446	{ map[4776] = Complex(1511.930959, -1922.377722);  }
46   	    278.051   	    294.446	{ map[4772] = Complex(1504.955156, -1926.470914);  }
47   	    278.368   	    294.446	{ map[4772] = Complex(1504.955156, -1926.470914);  }
48   	     278.63   	    294.446	{ map[4772] = Complex(1504.959585, -1926.467135);  }
49   	    279.191   	    294.446	{ map[4776] = Complex(1511.841264, -1922.442498);  }
50   	    280.385   	    294.446	{ map[4776] = Complex(1511.841264, -1922.442498);  }
51   	     282.29   	    294.446	{ map[4776] = Complex(1511.841264, -1922.442498);  }
52   	    284.035   	    294.446	{ map[4776] = Complex(1511.841264, -1922.442498);  }
53   	    286.057   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
54   	    287.788   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
55   	    289.293   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
56   	    290.298   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
57   	    291.085   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
58   	    292.008   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
59   	    292.423   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
60   	    292.759   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
61   	    293.151   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
62   	    293.525   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
63   	    293.629   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
64   	    293.754   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
65   	    293.837   	    294.446	{ map[4776] = Complex(1511.839022, -1922.443364);  }
66   	    293.937   	    294.446	{ map[4776] = Complex(1511.827909, -1922.451763);  }
67   	    293.997   	    294.446	{ map[4776] = Complex(1511.827909, -1922.451763);  }
68   	     294.04   	    294.446	{ map[4776] = Complex(1511.827909, -1922.451763);  }
69   	    294.166   	    294.446	{ map[4776] = Complex(1511.827909, -1922.451763);  }
70   	    294.181   	    294.446	{ map[4776] = Complex(1511.834589, -1922.446604);  }
71   	    294.264   	    294.446	{ map[4776] = Complex(1511.834781, -1922.446401);  }
72   	    294.355   	    294.446	{ map[4776] = Complex(1511.824760, -1922.453853);  }
73   	    294.355   	    294.446	{ map[4776] = Complex(1511.824760, -1922.453853);  }
74   	    294.371   	    294.446	{ map[4776] = Complex(1511.824760, -1922.453853);  }
75   	    294.393   	    294.446	{ map[4776] = Complex(1511.824760, -1922.453853);  }
76   	    294.401   	    294.446	{ map[4776] = Complex(1511.824760, -1922.453853);  }
77   	    294.378   	    294.446	{ map[4776] = Complex(1511.824760, -1922.453853);  }
78   	    294.341   	    294.446	{ map[4776] = Complex(1511.824760, -1922.453853);  }
79   	    294.356   	    294.446	{ map[4776] = Complex(1511.824760, -1922.453853);  }
80   	    294.365   	    294.446	{ map[4776] = Complex(1511.826498, -1922.452468);  }
81   	    294.372   	    294.446	{ map[4776] = Complex(1511.826498, -1922.452468);  }
82   	    294.358   	    294.446	{ map[4776] = Complex(1511.826498, -1922.452468);  }
83   	    294.365   	    294.446	{ map[4776] = Complex(1511.826498, -1922.452468);  }
84   	    294.387   	    294.446	{ map[4776] = Complex(1511.821666, -1922.456165);  }
85   	    294.365   	    294.446	{ map[4776] = Complex(1511.821666, -1922.456165);  }
86   	    294.372   	    294.446	{ map[4776] = Complex(1511.821666, -1922.456165);  }
87   	     294.38   	    294.446	{ map[4776] = Complex(1511.821666, -1922.456165);  }
88   	    294.417   	    294.446	{ map[4776] = Complex(1511.821666, -1922.456165);  }
89   	    294.417   	    294.446	{ map[4776] = Complex(1511.821666, -1922.456165);  }
90   	    294.439   	    294.446	{ map[4776] = Complex(1511.816060, -1922.460268);  }
91   	    294.446   	    294.446	{ map[4776] = Complex(1511.816060, -1922.460268);  }
92   	    294.446   	    294.446	{ map[4776] = Complex(1511.816060, -1922.460268);  }
93   	    294.446   	    294.446	{ map[4776] = Complex(1511.816060, -1922.460268);  }
94   	    294.446   	    294.446	{ map[4776] = Complex(1511.816060, -1922.460268);  }
95   	    294.446   	    294.446	{ map[4776] = Complex(1511.816060, -1922.460268);  }
96   	    294.446   	    294.446	{ map[4776] = Complex(1511.814320, -1922.461592);  }
97   	    294.446   	    294.446	{ map[4776] = Complex(1511.814320, -1922.461592);  }
98   	    294.446   	    294.446	{ map[4776] = Complex(1511.814320, -1922.461592);  }
99   	    294.446   	    294.446	{ map[4776] = Complex(1511.814320, -1922.461592);  }
100   	    294.446   	    294.446	{ map[4776] = Complex(1511.818366, -1922.458452);  }
101   	    294.446   	    294.446	{ map[4776] = Complex(1511.818366, -1922.458452);  }
102   	    294.446   	    294.446	{ map[4776] = Complex(1511.810700, -1922.464317);  }
103   	    294.446   	    294.446	{ map[4776] = Complex(1511.810700, -1922.464317);  }
104   	    294.446   	    294.446	{ map[4776] = Complex(1511.813021, -1922.462396);  }
105   	    294.446   	    294.446	{ map[4776] = Complex(1511.813021, -1922.462396);  }
106   	    294.446   	    294.446	{ map[4776] = Complex(1511.813021, -1922.462396);  }
107   	    294.446   	    294.446	{ map[4776] = Complex(1511.813021, -1922.462396);  }
108   	    294.446   	    294.446	{ map[4776] = Complex(1511.813021, -1922.462396);  }
109   	    294.446   	    294.446	{ map[4776] = Complex(1511.812305, -1922.462890);  }
110   	    294.446   	    294.446	{ map[4776] = Complex(1511.812305, -1922.462890);  }
111   	    294.446   	    294.446	{ map[4776] = Complex(1511.812268, -1922.462918);  }
0   	    161.876   	    328.726	{ map[4776] = Complex(1511.812268, -1922.462918); map[41609] = Complex(-2575.691721, -3156.189388);  }
