step	cost_avg	cost_best	solution_best
0   	    -3960.4   	    265.806	{ map[7171] = Complex(1498.274945, -1930.140669);  }
1   	   -3532.07   	    277.418	{ map[5068] = Complex(2632.135119, -208.344542);  }
2   	   -2851.78   	    301.704	{ map[5257] = Complex(2323.326879, 488.541409);  }
3   	   -2290.53   	    301.704	{ map[5257] = Complex(2323.326879, 488.541409);  }
4   	   -1767.34   	    301.704	{ map[5257] = Complex(2323.326879, 488.541409);  }
5   	   -1411.64   	    301.704	{ map[5257] = Complex(2323.326879, 488.541409);  }
6   	   -1001.82   	    310.552	{ map[5171] = Complex(2289.239871, 412.564420);  }
7   	   -640.464   	    310.552	{ map[5171] = Complex(2289.239871, 412.564420);  }
8   	   -435.249   	    311.517	{ map[5465] = Complex(2427.969310, 738.352960);  }
9   	    -232.21   	    314.308	{ map[5170] = Complex(2224.044987, 481.460127);  }
10   	   -64.7973   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
11   	    116.331   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
12   	    193.514   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
13   	    214.592   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
14   	    265.554   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
15   	    289.877   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
16   	    288.205   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
17   	    301.904   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
18   	    307.073   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
19   	    314.492   	    363.606	{ map[5166] = Complex(2223.497005, 477.430553);  }
20   	    330.088   	    363.619	{ map[5162] = Complex(2222.966226, 472.953597);  }
21   	     344.63   	    363.627	{ map[5164] = Complex(2222.287984, 476.148615);  }
22   	    351.428   	    363.627	{ map[5164] = Complex(2222.287984, 476.148615);  }
23   	    354.587   	    363.627	{ map[5164] = Complex(2222.287984, 476.148615);  }
24   	    356.674   	    363.627	{ map[5164] = Complex(2222.287984, 476.148615);  }
25   	    358.037   	    363.627	{ map[5164] = Complex(2222.287984, 476.148615);  }
